"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"17.02.2023","142,24","140,98","142,83","140,07","7,95M","0,30%"
"16.02.2023","141,82","142,91","143,39","141,68","7,97M","-1,38%"
"15.02.2023","143,80","141,61","143,89","141,30","6,69M","0,42%"
"14.02.2023","143,20","142,50","143,81","141,60","9,25M","0,44%"
"13.02.2023","142,57","141,30","142,73","140,74","6,98M","1,08%"
"10.02.2023","141,04","139,78","141,28","138,59","6,57M","0,44%"
"09.02.2023","140,42","143,12","143,34","139,87","6,37M","-1,56%"
"08.02.2023","142,64","142,65","144,04","142,28","6,91M","-0,70%"
"07.02.2023","143,65","141,38","144,34","141,18","10,40M","1,22%"
"06.02.2023","141,92","140,23","142,24","140,03","8,38M","0,59%"
"03.02.2023","141,09","138,18","142,33","138,13","11,50M","1,55%"
"02.02.2023","138,94","140,00","140,46","138,00","11,78M","-0,47%"
"01.02.2023","139,59","138,21","140,88","138,12","8,82M","-0,26%"
"31.01.2023","139,96","139,88","140,07","138,25","9,19M","0,60%"
"30.01.2023","139,13","139,23","140,09","138,91","6,52M","-0,85%"
"27.01.2023","140,32","140,61","141,26","139,75","7,49M","0,24%"
"26.01.2023","139,98","139,42","140,06","138,36","7,37M","0,62%"
"25.01.2023","139,12","138,05","139,12","137,25","8,93M","0,48%"
"24.01.2023","138,45","140,29","140,29","135,00","6,93M","0,86%"
"23.01.2023","137,27","135,12","137,96","134,82","10,40M","1,62%"
"20.01.2023","135,08","135,16","135,49","133,55","13,09M","0,24%"
"19.01.2023","134,75","135,32","135,90","133,59","13,20M","-1,33%"
"18.01.2023","136,57","138,92","140,73","136,41","13,16M","-3,00%"
"17.01.2023","140,80","141,17","141,54","139,23","14,23M","-1,55%"
"13.01.2023","143,01","135,60","143,49","134,80","20,20M","2,52%"
"12.01.2023","139,49","140,00","140,86","139,22","10,94M","-0,10%"
"11.01.2023","139,63","138,90","139,75","138,10","8,64M","0,74%"
"10.01.2023","138,60","137,79","138,72","137,31","8,99M","0,90%"
"09.01.2023","137,37","138,60","138,88","136,88","8,45M","-0,41%"
"06.01.2023","137,94","136,13","138,38","134,49","10,03M","1,91%"
"05.01.2023","135,35","135,66","135,71","133,70","8,24M","-0,76%"
"04.01.2023","136,38","135,99","137,68","135,57","10,97M","0,93%"
"03.01.2023","135,12","135,24","136,74","133,89","10,88M","0,76%"
"30.12.2022","134,10","132,81","134,33","132,44","9,29M","0,66%"
"29.12.2022","133,22","132,93","133,27","132,31","6,53M","0,57%"
"28.12.2022","132,46","131,85","133,41","131,01","8,75M","0,55%"
"27.12.2022","131,74","131,57","132,22","130,55","5,33M","0,35%"
"23.12.2022","131,28","130,58","131,44","129,64","5,09M","0,47%"
"22.12.2022","130,66","131,10","131,30","128,41","8,60M","-1,13%"
"21.12.2022","132,16","132,18","132,98","131,77","7,96M","1,12%"
"20.12.2022","130,69","130,97","132,05","130,20","8,53M","0,48%"
